AIDS,SIDA
BOILING POINT,PUNCT DE FIERBERE
BOISE,BOISE, IDAHO
BOLETUS EDULIS,HRIB
BOLIVIA,BOLIVIA
BOLIVIA,CATEGORIE:BOLIVIA
BOLOGNA,BOLOGNA
BOLSHEVIK,BOLŞEVIC
BOLZANO,BOLZANO
BOMBER,BOMBARDIER
BOND (FINANCE),OBLIGAŢIUNE
BONE,OS
BONN,BONN
BONSAI,BONSAI
BOOK,CARTE
BOOK OF ESTHER,ESTERA (CARTE)
BOOK OF REVELATION,CARTEA APOCALIPSEI
BORDEAUX,BORDEAUX
BORIS PASTERNAK,BORIS PASTERNAK
BORIS SPASSKY,BORIS SPASSKI
BORNEO,BORNEO
BORON,BOR (ELEMENT)
BOSNIA AND HERZEGOVINA,BOSNIA ŞI HERŢEGOVINA
BOSNIA AND HERZEGOVINA,CATEGORIE:BOSNIA ŞI HERŢEGOVINA
BOSON,BOSON
BOSPORUS,BOSFOR
BOSTON,BOSTON, MASSACHUSETTS
BOTANICAL GARDEN,GRĂDINĂ BOTANICĂ
BOTANY,BOTANICĂ
BOTANY,CATEGORIE:BOTANICĂ
BOTSWANA,BOTSWANA
BOTSWANA,CATEGORIE:BOTSWANA
BOURGEOISIE,BURGHEZIE
BOURGOGNE,BOURGOGNE
BOXING,BOX
BOXING,CATEGORIE:BOX
BRAGA,BRAGA
BRAHMA,BRAHMA
BRAILLE,ALFABETUL BRAILLE
BRAIN,CREIER
BRAM STOKER,BRAM STOKER
BRANDENBURG,BRANDENBURG
BRASS,ALAMĂ
BRATISLAVA,BRATISLAVA
BRAUNSCHWEIG,BRAUNSCHWEIG
BRAZIL,BRAZILIA
BRAZIL,CATEGORIE:BRAZILIA
BRAZZAVILLE,BRAZZAVILLE
BREAD,PÂINE
BREAST CANCER,CANCER MAMAR
BREMEN (STATE),BREMEN
BREMERHAVEN,BREMERHAVEN
BRESCIA,BRESCIA
BREST,BREST, FRANŢA
BREST,BREST, BELARUS
BREST,BREST (DEZAMBIGUIZARE)
BRETAGNE,BRETANIA
BRIDGE,POD
BRIDGES,CATEGORIE:PODURI
BRIDGETOWN,BRIDGETOWN
BRIGHTON,BRIGHTON
BRINDISI,BRINDISI
BRISBANE,BRISBANE
BRISTOL,BRISTOL
BRITISH COLUMBIA,COLUMBIA BRITANICĂ
BRITISH EMPIRE,IMPERIUL BRITANIC
BRITISH ISLES,INSULELE BRITANICE
BRITISH VIRGIN ISLANDS,INSULELE VIRGINE BRITANICE
BRITISH PEOPLE,CATEGORIE:BRITANICI
BRNO,BRNO
BROCCOLI,BROCCOLI
BROMINE,BROM
BRONZE,BRONZ
BRONZE AGE,EPOCA BRONZULUI
BROWN BEAR,URS BRUN
BROWNIAN MOTION,MIŞCARE BROWNIANĂ
BRUCE LEE,BRUCE LEE
BRUGES,BRUGES
BRUNEI,BRUNEI
BRUNEI,CATEGORIE:BRUNEI
BRUSSELS,BRUXELLES
BUCHAREST,BUCUREŞTI
BUCKINGHAM PALACE,PALATUL BUCKINGHAM
BUCKMINSTER FULLER,RICHARD BUCKMINSTER FULLER
BUCKWHEAT,HRIŞCĂ
BUDAPEST,BUDAPESTA
BUDDHA,BUDDHA
BUDDHISM,BUDISM
BUDDHISM,CATEGORIE:BUDISM
BUDDY HOLLY,BUDDY HOLLY
BUENOS AIRES,BUENOS AIRES
BUFFALO,BUFFALO, NEW YORK
BUJUMBURA,BUJUMBURA
BULGARIA,BULGARIA
BULGARIA,CATEGORIE:BULGARIA
BUOYANCY,PRINCIPIUL LUI ARHIMEDE
BURKINA FASO,BURKINA FASO
BURKINA FASO,CATEGORIE:BURKINA FASO
BURMA,BIRMANIA
BURMA,CATEGORIE:MYANMAR
BURSA,BURSA
BURUNDI,CATEGORIE:BURUNDI
BUS,AUTOBUZ
BUSINESSPEOPLE,CATEGORIE:OAMENI DE AFACERI
BUTANE,BUTAN
BUTTER,UNT
BYDGOSZCZ,BYDGOSZCZ
BYZANTINE EMPIRE,CATEGORIE:IMPERIUL BIZANTIN
C,C
C (PROGRAMMING LANGUAGE),C (LIMBAJ DE PROGRAMARE)
C. S. LEWIS,CLIVE STAPLES LEWIS
CD (DISAMBIGUATION),CD (DEZAMBIGUIZARE)
CHAOS (LINUX DISTRIBUTION),CHAOS
CN TOWER,CN TOWER
COBOL,COBOL
CACTUS,CACTACEAE
CADMIUM,CADMIU
CAELUM,DALTA (CONSTELAŢIE)
CAESIUM,CESIU
CAFFEINE,CAFEINĂ
CAIRO,CAIRO
CALABRIA,CALABRIA
CALAIS,CALAIS
CALCITE,CALCIT
CALCIUM,CALCIU
CALCIUM CARBONATE,CARBONAT DE CALCIU
CALCIUM OXIDE,OXID DE CALCIU
CALCULATOR,CALCULATOR
CALDERA,CALDERA
CALIFORNIA,CALIFORNIA (STAT SUA)
CALIFORNIA,CATEGORIE:STATUL CALIFORNIA, SUA
CALIFORNIUM,CALIFORNIU
CALIGULA,CALIGULA
CALLIGRAPHY,CALIGRAFIE
CALLIOPE,CALLIOPE
CALLISTO (MOON),CALLISTO (SATELIT)
CALORIE,CALORIE
CALVADOS,CALVADOS
CALVIN COOLIDGE,CALVIN COOLIDGE
CALYPSO (MYTHOLOGY),CALYPSO (MITOLOGIE)
CAMBODIA,CAMBOGIA
CAMBODIA,CATEGORIE:CAMBODGIA
CAMBRIAN,CAMBRIAN
CAMBRIDGE,CAMBRIDGE
CAMBRIDGE,CAMBRIDGE, MASSACHUSETTS
CAMEL,CĂMILĂ
CAMEROON,CAMERUN
CAMPANIA,CAMPANIA
CANADA,CANADA
CANADA,CATEGORIE:CANADA
CANADIAN DOLLAR,DOLAR CANADIAN
CANARY ISLANDS,INSULELE CANARE
CANARY ISLANDS,CATEGORIE:INSULELE CANARE
CANBERRA,CANBERRA
CANCER,CANCER
CANCER (CONSTELLATION),RACUL (CONSTELAŢIE)
CANDELA,CANDELĂ
CANDLE,LUMÂNARE
CANIDAE,CANIDE
CANIS MAJOR,CÂINELE MARE
CANIS MINOR,CÂINELE MIC (CONSTELAŢIE)
CANNES,CANNES
CANNIBALISM,CANIBALISM
CANNON,TUN
CANON (COMPANY),CANON
CANOPUS,CANOPUS
CANTERBURY,CANTERBURY
CANTONESE (LINGUISTICS),LIMBA CANTONEZĂ
CAPACITOR,CONDENSATOR
CAPE TOWN,KAAPSTAD
CAPE VERDE,REPUBLICA CAPULUI VERDE
CAPITAL,CAPITALĂ
CAPITAL (ECONOMICS),CAPITAL
CAPITAL PUNISHMENT,PEDEAPSA CU MOARTEA
CAPITALISM,CAPITALISM
CAPPADOCIA,CAPPADOCIA
CAPRICORNUS,CAPRICORNUL (CONSTELAŢIE)
CAPSICUM,CAPSICUM
CARACAL,CARACALUS CARACAL
CARACAS,CARACAS
CARAVAGGIO,CARAVAGGIO
CARBON,CARBON
CARBON CYCLE,CIRCUITUL CARBONULUI ÎN NATURĂ
CARBON DIOXIDE,DIOXID DE CARBON
CARBON MONOXIDE,MONOXID DE CARBON
CARBONIC ACID,ACID CARBONIC
CARBOXYLIC ACID,ACID CARBOXILIC
CARBURETOR,CARBURATOR
CARDIFF,CARDIFF
CARDINAL (CATHOLICISM),CARDINAL
CARDINAL RICHELIEU,CARDINALUL RICHELIEU
CARDIOLOGY,CARDIOLOGIE
CARDIOLOGY,CATEGORIE:CARDIOLOGIE
CARIBBEAN,CARAIBE
CARIBBEAN SEA,MAREA CARAIBELOR
CARICATURE,CARICATURĂ
CARINA (CONSTELLATION),CARENA (CONSTELAŢIE)
CARL DAVID ANDERSON,CARL DAVID ANDERSON
CARL JUNG,CARL GUSTAV JUNG
CARL MARIA VON WEBER,CARL MARIA VON WEBER
CARL ORFF,CARL ORFF
CARNIVAL,CARNAVAL
CARNIVORA,CARNIVORE
CAROLINGIAN DYNASTY,DINASTIA CAROLINGIANĂ
CAROLUS LINNAEUS,CARL LINNÉ
CARPATHIAN MOUNTAINS,MUNŢII CARPAŢI
CARSON CITY,CARSON CITY, NEVADA
CARTESIAN COORDINATE SYSTEM,COORDONATE CARTEZIENE
CARTHAGE,CARTAGINA
CARTOGRAPHY,CARTOGRAFIE
CARTOGRAPHY,CATEGORIE:CARTOGRAFIE
CARY GRANT,CARY GRANT
CASABLANCA,CASABLANCA
CASPIAN SEA,MAREA CASPICĂ
CASSANDRA,CASANDRA
CASSIOPEIA (CONSTELLATION),CASSIOPEIA (CONSTELAŢIE)
CAST IRON,FONTĂ
CASTLE,CETATE (EDIFICIU)
CASTLING,ROCADĂ
CASUS BELLI,CASUS BELLI
CAT,PISICĂ DE CASĂ
CATALONIA,CATALONIA
CATALONIA,CATEGORIE:CATALONIA
CATAPHRACT,CATAFRACTĂ
CATHERINE PARR,CATHERINE PARR
CATHERINE OF ARAGON,CATHERINE DE ARAGON
CATULLUS,GAIUS VALERIUS CATULLUS
CAUCASUS,CAUCAZ
CAUCASUS,CATEGORIE:CAUCAZ
CAUCASUS MOUNTAINS,MUNŢII CAUCAZ
CAUSALITY,CAUZĂ
CAVALRY,CAVALERIE
CAVE,PEŞTERĂ
CAYENNE,CAYENNE
CAYMAN ISLANDS,INSULELE CAYMAN
CEDAR,CEDRU
CELESTIAL MECHANICS,CATEGORIE:ASTROMECANICĂ
CELESTIAL SPHERE,SFERĂ CEREASCĂ
CELL (BIOLOGY),CELULĂ
CELL NUCLEUS,NUCLEUL CELULEI
CEMENT,CIMENT
CENOZOIC,NEOZOIC
CENSUS,RECENSĂMÂNT
CENTAUR,CENTAUR
CENTAURUS,CENTAURUL (CONSTELAŢIE)
CENTIMETRE,CENTIMETRU
CENTRAL AFRICA,AFRICA CENTRALĂ
CENTRAL AFRICAN REPUBLIC,REPUBLICA CENTRAFRICANĂ
CENTRAL AMERICA,AMERICA CENTRALĂ
CENTRAL INTELLIGENCE AGENCY,CENTRAL INTELLIGENCE AGENCY
CENTRAL PARK,CENTRAL PARK
CENTRAL POWERS,PUTERILE CENTRALE
CENTRAL NERVOUS SYSTEM,SISTEMUL NERVOS CENTRAL
CENTRE,CENTRU (FRANŢA)
CENTRIOLE,CENTRIOL
CENTURY,SECOL
CEPHEUS (CONSTELLATION),CEFEU (CONSTELAŢIE)
CERBERUS,CERBER
CERES,CERES
CERES (DWARF PLANET),CERES (PLANETĂ PITICĂ)
CERES (MYTHOLOGY),CERES (ZEIŢĂ)
CERIUM,CERIU
CETACEA,CETACEU
CETUS,BALENA (CONSTELAŢIE)
CHAD,CIAD
CHAD,CATEGORIE:CIAD
CHAIR,SCAUN
CHALCEDONY,CALCEDON (MINERAL)
CHAMAELEON,CAMELEONUL (CONSTELAŢIE)
CHAMPAGNE-ARDENNE,CHAMPAGNE-ARDENNE
CHANNEL TUNNEL,TUNELUL CANALULUI MÂNECII
CHAOS (MYTHOLOGY),HAOS
CHARLEMAGNE,CAROL CEL MARE
CHARLEROI,CHARLEROI
CHARLES,CHARLES, PRINŢ DE WALES
CHARLES BAUDELAIRE,CHARLES BAUDELAIRE
CHARLES DARWIN,CHARLES DARWIN
CHARLES DICKENS,CHARLES DICKENS
CHARLES FOURIER,CHARLES FOURIER
CHARLES LINDBERGH,CHARLES LINDBERGH
CHARLES PEIRCE,CHARLES PEIRCE
CHARLES THOMSON REES WILSON,CHARLES THOMSON REES WILSON
CHARLES DE GAULLE,CHARLES DE GAULLE
CHARLES THE BALD,CAROL CEL PLEŞUV
CHARLESTON,CHARLESTON, WEST VIRGINIA
CHARLIE CHAPLIN,CHARLIE CHAPLIN
CHARLOTTE,CHARLOTTE, NORTH CAROLINA
CHARON (MOON),CHARON (SATELIT)
CHARON (MYTHOLOGY),CHARON (MITOLOGIE)
CHARTRES,CHARTRES
CHE GUEVARA,CHE GUEVARA
CHECHNYA,CECENIA
CHEESE,BRÂNZĂ
CHEETAH,GHEPARD
CHELYABINSK,CELIABINSK
CHEMICAL BOND,LEGĂTURĂ CHIMICĂ
CHEMICAL ELEMENT,ELEMENT CHIMIC
CHEMICAL FORMULA,FORMULĂ CHIMICĂ
CHEMISTRY,CHIMIE
CHEMISTRY,CATEGORIE:CHIMIE
CHEMISTRY,PORTAL:CHIMIE
CHEMNITZ,CHEMNITZ
CHENNAI,CHENNAI
CHERNOBYL,CERNOBÎL
CHERT,SILICOLIT
CHERUB,HERUVIM
CHESS,ŞAH (JOC)
CHESS,CATEGORIE:ŞAH
CHESS OPENING,DESCHIDERE (ŞAH)
CHESTER A. ARTHUR,CHESTER ALAN ARTHUR
CHEYENNE,CHEYENNE, WYOMING
CHIANG KAI-SHEK,CHIANG KAI-SHEK
CHICAGO,CHICAGO, ILLINOIS
CHICKENPOX,VARICELĂ
CHICKPEA,NĂUT
CHIHUAHUA,CHIHUAHUA (STAT MEXIC)
CHILD,COPIL
CHILE,CHILE
CHILE,CATEGORIE:CHILE
CHIMERA (MYTHOLOGY),HIMERA
CHINA,CATEGORIE:CHINA
CHIOS,INSULA CHIOS
CHIRON,CHIRON
CHLORINE,CLOR
CHLOROFORM,CLOROFORM
CHLOROPHYLL,CLOROFILĂ
CHLOROPLAST,CLOROPLAST
CHOCOLATE,CIOCOLATĂ
CHOLERA,HOLERĂ
CHOLESTEROL,COLESTEROL
CHONGQING,CHONGQING
CHORDATE,CHORDATA
CHRISTCHURCH,CHRISTCHURCH
CHRISTIAAN HUYGENS,CHRISTIAAN HUYGENS
CHRISTIAN DIOR,CHRISTIAN DIOR
CHRISTIANITY,CREŞTINISM
CHRISTIANITY,CATEGORIE:CREŞTINISM
CHRISTMAS,CRĂCIUN
CHRISTMAS,CATEGORIE:CRĂCIUN
CHRISTMAS TREE,POM DE CRĂCIUN
CHRISTOPHER COLUMBUS,CRISTOFOR COLUMB
CHRISTOPHER MARLOWE,CHRISTOPHER MARLOWE
CHROMIUM,CROM
CHROMOSOME,CROMOZOM
CHRONOLOGY,CATEGORIE:CRONOLOGIE
CHUCK BERRY,CHUCK BERRY
CHURCH,BISERICĂ (INSTITUŢIE)
CHURCH (BUILDING),BISERICĂ (EDIFICIU)
CHURCH OF ENGLAND,BISERICA ANGLICANĂ
CICERO,MARCUS TULLIUS CICERO
CIDER,CIDRU
CINNAMON,SCORŢIŞOARĂ
CIRCE,CIRCE
CIRCINUS,COMPASUL (CONSTELAŢIE)
CIRCULATORY SYSTEM,APARATUL CARDIOVASCULAR
CIRCUMCISION,CIRCUMCIZIE
CIRCUS,CIRC
CITRIC ACID,ACID CITRIC
CIVIL WAR,RĂZBOI CIVIL
CIVILIZATION,CIVILIZAŢIE
CLARK GABLE,CLARK GABLE
CLASS,CLASĂ (DEZAMBIGUIZARE)
CLASS (BIOLOGY),CLASĂ (BIOLOGIE)
CLASSICAL MECHANICS,MECANICĂ CLASICĂ
CLASSICAL MUSIC,MUZICĂ CULTĂ
CLASSICAL MUSIC,CATEGORIE:MUZICĂ CLASICĂ
CLASSICISM,CLASICISM
CLAUDE MONET,CLAUDE MONET
CLAUDE SHANNON,CLAUDE SHANNON
CLAUDIO MONTEVERDI,CLAUDIO MONTEVERDI
CLAUDIUS,CLAUDIUS
CLEMENT ATTLEE,CLEMENT ATTLEE
CLERGY,CLER
CLEVELAND,CLEVELAND, OHIO
CLIMATE,CLIMĂ
CLIMATE,CATEGORIE:CLIMĂ
CLIMATOLOGY,CLIMATOLOGIE
CLIMATOLOGY,CATEGORIE:CLIMATOLOGIE
CLINICAL DEPRESSION,DEPRESIE (BOALĂ)
CLIO,CLIO
CLITORIS,CLITORIS
CLOCK,CEAS
CLOUD,NOR
CLOVE,CUIŞOARE
CLOVER,TRIFOLIUM
CLOVIS I,CLOVIS I
COAL,CĂRBUNE
COBALT,COBALT
COCAINE,COCAINĂ
COCKTAIL,COCTEIL
COCONUT,COCOTIER
COCOS (KEELING) ISLANDS,INSULELE COCOS
CODEINE,CODEINĂ
COFFEE,CAFEA
COGNITIVE PSYCHOLOGY,PSIHOLOGIE COGNITIVĂ
COIN,MONEDĂ
COLD WAR,RĂZBOIUL RECE
COLD WAR,CATEGORIE:RĂZBOIUL RECE
COLIN POWELL,COLIN POWELL
COLOGNE,KÖLN
COLOMBIA,COLUMBIA
COLOMBIA,CATEGORIE:COLUMBIA
COLOMBO,COLOMBO
COLOR,CULOARE
COLORADO,COLORADO (STAT SUA)
COLORADO,CATEGORIE:STATUL COLORADO, SUA
COLORADO RIVER,FLUVIUL COLORADO
COLOSSEUM,COLOSSEUM
COLOSSUS OF RHODES,COLOSUL DIN RODOS
COLUMBA (CONSTELLATION),PORUMBELUL (CONSTELAŢIE)
COLUMBIA,COLUMBIA, SOUTH CAROLINA
COLUMBIA,COLUMBIA (DEZAMBIGUIZARE)
COLUMBIA RIVER,COLUMBIA (FLUVIU)
COLUMBUS,COLUMBUS, OHIO
COMA BERENICES,PĂRUL BERENICEI (CONSTELAŢIE)
COMEDY,COMEDIE
COMET,COMETĂ
COMMA (PUNCTUATION),VIRGULĂ
COMMEDIA DELL'ARTE,COMMEDIA DELL'ARTE
COMMERCE,CATEGORIE:COMERŢ
COMMON COLD,GRIPĂ
COMMONWEALTH OF INDEPENDENT STATES,COMUNITATEA STATELOR INDEPENDENTE
COMMUNICATION,CATEGORIE:COMUNICAŢII
COMMUNICATION,COMUNICAŢII
COMMUNISM,COMUNISM
COMMUNISM,CATEGORIE:COMUNISM
COMOROS,INSULELE COMORE
COMPACT DISC,COMPACT DISC
COMPASS,BUSOLĂ
COMPETITION,CONCURENŢĂ
COMPLEX NUMBER,NUMĂR COMPLEX
COMPOSER,COMPOZITOR
COMPOSITE NUMBER,NUMĂR COMPUS
COMPUTATIONAL LINGUISTICS,LINGVISTICĂ COMPUTAŢIONALĂ
COMPUTER,COMPUTER
COMPUTER DISPLAY,MONITOR
COMPUTER FILE,FIŞIER
COMPUTER HARDWARE,HARDWARE
COMPUTER PROGRAM,PROGRAM (INFORMATICĂ)
COMPUTER PROGRAMMING,PROGRAMARE
COMPUTER SCIENCE,INFORMATICĂ
COMPUTER SCIENCE,CATEGORIE:INFORMATICĂ
COMPUTER SOFTWARE,SOFTWARE
COMPUTER VIRUS,VIRUS INFORMATIC
COMPUTER-AIDED DESIGN,PROIECTARE ASISTATĂ DE CALCULATOR
CONCENTRATION,DILUŢIE
CONCORD,CONCORD, NEW HAMPSHIRE
CONCRETE,BETON
CONDUCTING,DIRIJOR
CONE (GEOMETRY),CON
CONFEDERATE STATES OF AMERICA,STATELE CONFEDERATE ALE AMERICII
CONFEDERATION,CONFEDERAŢIE
CONFESSION,POCĂINŢĂ (TAINĂ)
CONFIRMATION,MIR (TAINĂ)
CONFLICT,CONFLICT
CONFUCIANISM,CONFUCIANISM
CONFUCIUS,CONFUCIUS
CONGO,CONGO (DEZAMBIGUIZARE)
CONGO RIVER,CONGO (FLUVIU)
CONIC SECTION,CONICĂ
CONNECTICUT,CONNECTICUT (STAT SUA)
CONNECTICUT,CATEGORIE:STATUL CONNECTICUT, SUA
CONQUISTADOR,CONCHISTADOR
CONSENSUS,CONSENS
CONSERVATISM,CONSERVATORISM
CONSONANT,CONSOANĂ
CONSTANTINE I,CONSTANTIN CEL MARE
CONSTANTINOPLE,CONSTANTINOPOL
CONSTELLATION,CONSTELAŢIE
CONSTITUTION (POLITICAL),CONSTITUŢIE
CONSUL,CONSUL
CONTINENT,CONTINENT
CONTINENTAL SHELF,PLATFORMĂ CONTINENTALĂ
CONTRACT BRIDGE,BRIDGE
COOKING,BUCĂTĂRIE
COORDINATED UNIVERSAL TIME,ORA UNIVERSALĂ COORDONATĂ
COPENHAGEN,COPENHAGA
COPPER,CUPRU
COPYRIGHT,DREPTURI DE AUTOR
CORAL,CORAL
CORINTH,CORINT
CORNWALL,CORNWALL
CORONA BOREALIS,COROANA BOREALĂ (CONSTELAŢIE)
CORPORATION,CORPORAŢIE
CORSICA,CORSICA
CORUNDUM,CORINDON
CORVUS (CONSTELLATION),CORBUL (CONSTELAŢIE)
COSMIC MICROWAVE BACKGROUND RADIATION,RADIAŢIA COSMICĂ DE FOND
COSMIC RAY,RADIAŢIE COSMICĂ
COSMOLOGY,COSMOLOGIE
COSMOLOGY,CATEGORIE:COSMOLOGIE
COSTA RICA,COSTA RICA
COSTA RICA,CATEGORIE:COSTA RICA
COTONOU,COTONOU
COTOPAXI,COTOPAXI
COTTON,BUMBAC
COULOMB,COULOMB (UNITATE)
COULOMB'S LAW,LEGEA LUI COULOMB
COUNCIL OF CHALCEDON,CONCILIUL DE LA CALCEDON
COUNCIL OF EPHESUS,CONCILIUL DE LA EFES
COUNCIL OF TRENT,CONCILIUL TRIDENTIN
COUNTERPOINT,CONTRAPUNCT (MUZICĂ)
COUNTRY,ŢARĂ
COUNTRY MUSIC,COUNTRY
COVENTRY,COVENTRY
CRAB,CRAB
CRAB NEBULA,NEBULOASA CRABULUI
CRATER (CONSTELLATION),CUPA (CONSTELAŢIE)
CREATIONISM,CREAŢIONISM
CREMONA,CREMONA
CRETACEOUS,CRETACIC
CRETE,CRETA (INSULĂ)
CRICKET,CRICHET
CRIMEA,CRIMEEA
CRIMEAN WAR,RĂZBOIUL CRIMEII
CRIMINAL LAW,DREPT PENAL
CRIMINOLOGY,CRIMINOLOGIE
CROATIA,CROAŢIA
CROATIA,CATEGORIE:CROAŢIA
CROCODILE,CROCODIL
CROSS,CRUCE
CROSS PRODUCT,PRODUS VECTORIAL A DOI VECTORI
CROSSWORD,CUVINTE ÎNCRUCIŞATE
CRUST (GEOLOGY),SCOARŢĂ TERESTRĂ
CRUSTACEAN,CRUSTACEE
CRUX,CRUCEA SUDULUI (CONSTELAŢIE)
CRYPTOGRAPHY,CRIPTOGRAFIE
CRYSTALLOGRAPHY,CRISTALOGRAFIE
CUBA,CUBA
CUBA,CATEGORIE:CUBA
CUBE,CUB
CUBIC METRE,METRU CUB
CUBISM,CUBISM
CUCULIFORMES,CUCULIFORMES
CUCUMBER,CASTRAVETE
CUCURBITACEAE,CUCURBITACEAE
CULTURAL REVOLUTION,REVOLUŢIA CULTURALĂ
CULTURE,CULTURĂ
CULTURE,CATEGORIE:CULTURĂ
CUMBRIA,CUMBRIA
CUMULUS CLOUD,CUMULUS
CURITIBA,CURITIBA
CURIUM,CURIU
CURLING,CURLING
CURRENCY,CATEGORIE:MONEDĂ
CUSCO,CUZCO
CYAN,CYAN
CYANIDE,CIANURĂ
CYBELE,CYBELE
CYBERNETICS,CIBERNETICĂ
CYBERPUNK,CYBERPUNK
CYCLADES,INSULELE CICLADE
CYCLING,CATEGORIE:CICLISM
CYGNUS (CONSTELLATION),LEBĂDA (CONSTELAŢIE)
CYLINDER (GEOMETRY),CILINDRU (GEOMETRIE)
CYPERACEAE,CYPERACEAE
CYPRUS,CIPRU
CYPRUS,CATEGORIE:CIPRU
CYRILLIC ALPHABET,ALFABETUL CHIRILIC
CYRUS THE GREAT,CYRUS AL II-LEA CEL MARE
CYTOPLASM,CITOPLASMĂ
CYTOSKELETON,CITOSCHELET
CZECH REPUBLIC,CEHIA
CZECH REPUBLIC,CATEGORIE:REPUBLICA CEHĂ
CZECHOSLOVAKIA,CEHOSLOVACIA
CZECHOSLOVAKIA,CATEGORIE:CEHOSLOVACIA
D,D
D. H. LAWRENCE,D. H. LAWRENCE
DNA,ADN
DOS,DOS
DVD,DVD
DACHSHUND,TECKEL
DADA,DADAISM
DAHLIA,DAHLIA
DAKAR,DAKAR
DALAI LAMA,DALAI LAMA
DALLAS,DALLAS, TEXAS
DALMATIA,DALMAŢIA
DAM,BARAJ
DAMASCUS,DAMASC
DANCE,DANS
DANIEL BERNOULLI,DANIEL BERNOULLI
DANIEL DEFOE,DANIEL DEFOE
DANTE ALIGHIERI,DANTE ALIGHIERI
DANUBE,DUNĂRE
DAPHNE,DAPHNE
DARDANELLES,DARDANELE
DARK MATTER,MATERIA ÎNTUNECATĂ
DARMSTADTIUM,DARMSTADTIU
DARWIN,DARWIN (NORTHERN TERRITORY)
DARWIN,DARWIN (DEZAMBIGUIZARE)
DAS KAPITAL,DAS KAPITAL
DATA MINING,DATA MINING
DATA STRUCTURE,STRUCTURĂ DE DATE
DATABASE,BAZĂ DE DATE
DATIVE CASE,CAZUL DATIV
DAUGAVPILS,DAUGAVPILS
DAVID,DAVID (ISRAEL)
DAVID HILBERT,DAVID HILBERT
DAVID HUME,DAVID HUME
DAVID LIVINGSTONE,DAVID LIVINGSTONE
DAVID RICARDO,DAVID RICARDO
DAVIS CUP,CUPA DAVIS
DAY,ZI
DEACON,DIACON
DEAD SEA,MAREA MOARTĂ
DEAD SEA SCROLLS,MANUSCRISELE DE LA MAREA MOARTĂ
DEADLY NIGHTSHADE,MĂTRĂGUNĂ
DEATH,MOARTE
DEATH,CATEGORIE:MOARTE
DECADE,DECENII
DECEMBER,DECEMBRIE
DECEMBER 31,31 DECEMBRIE
DECEMBER 8,8 DECEMBRIE
DECIUS (EMPEROR),DECIUS
DECO,DECO
DEDUCTIVE REASONING,RAŢIONAMENT DEDUCTIV
DEFINITION,DEFINIŢIE
DEGREE,GRAD (DEZAMBIGUIZARE)
DEGREE (ANGLE),GRAD CENTEZIMAL
DEIMOS (MOON),DEIMOS (SATELIT)
DEISM,DEISM
DELAWARE,DELAWARE (STAT SUA)
DELAWARE,CATEGORIE:STATUL DELAWARE, SUA
DELFT,DELFT
DELHI,DELHI
DELL,DELL, INC.
DELPHI,DELPHI, GRECIA
DELPHINUS,DELFINUL (CONSTELAŢIE)
DELUGE (MYTHOLOGY),POTOP
DEMETER,DEMETRA
DEMOCRACY,DEMOCRAŢIE
DEMOCRATIC PARTY (UNITED STATES),PARTIDUL DEMOCRAT, SUA
DEMOCRATIC REPUBLIC OF THE CONGO,REPUBLICA DEMOCRATĂ CONGO
DEMOCRATIC REPUBLIC OF THE CONGO,CATEGORIE:REPUBLICA DEMOCRATĂ CONGO
DEMOCRITUS,DEMOCRIT
DEMOGRAPHY,DEMOGRAFIE
DEMOSTHENES,DEMOSTENE
DENG XIAOPING,DENG XIAOPING
DENIS DIDEROT,DENIS DIDEROT
DENMARK,DANEMARCA
DENMARK,CATEGORIE:DANEMARCA
DENNIS GABOR,DENNIS GABOR
DENSITY,DENSITATE
DENTAL CARIES,CARIE DENTARĂ
DENTISTRY,CATEGORIE:STOMATOLOGIE
DENTISTRY,STOMATOLOGIE
DENVER,DENVER, COLORADO
DERIVATIVE,DERIVATĂ
DES MOINES,DES MOINES, IOWA
DESERT,DEŞERT
DESERTS,CATEGORIE:DEŞERTURI
DESIDERIUS ERASMUS,ERASMUS DIN ROTTERDAM
DESIGN,CATEGORIE:DESIGN
DETERMINANT,DETERMINANT (MATEMATICĂ)
DETERMINISM,DETERMINISM
DETROIT,DETROIT, MICHIGAN
DEUTERIUM,DEUTERIU
DEVELOPMENTAL PSYCHOLOGY,PSIHOLOGIA DEZVOLTĂRII
DEVICE DRIVER,DRIVER
DEVON,DEVON
DEVONIAN,DEVONIAN
DEW POINT,PUNCT DE ROUĂ
DHAKA,DACCA
DHARMA,DHARMA
DHAULAGIRI,DHAULAGIRI
DIABETES MELLITUS,DIABET ZAHARAT
DIACRITIC,SEMN DIACRITIC
DIALECT,DIALECT
DIALECTIC,DIALECTICĂ
DIALECTICAL MATERIALISM,MATERIALISM DIALECTIC
DIAMOND,DIAMANT
DIANA,DIANA, PRINŢESĂ DE WALES
DIANA (MYTHOLOGY),DIANA (ZEIŢĂ)
DICTATORSHIP,DICTATURĂ
DICTIONARY,DICŢIONAR
DIESEL ENGINE,MOTOR DIESEL
DIETRICH BONHOEFFER,DIETRICH BONHOEFFER
DIFFERENTIAL EQUATION,ECUAŢIE DIFERENŢIALĂ
DIFFRACTION,DIFRACŢIE
DIGESTIVE SYSTEM,CATEGORIE:APARATUL DIGESTIV
DIGITAL SUBSCRIBER LINE,DIGITAL SUBSCRIBER LINE
DIJON,DIJON
